,index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,0,Sawtell,-30.38,153.1,64.4,93,75,7.2,AU,12/11/2020
1,1,Yenagoa,4.92,6.26,81.73,80,34,2.1,NG,12/11/2020
2,2,Hithadhoo,-0.6,73.08,82.11,76,14,5.38,MV,12/11/2020
3,3,Soavinandriana,-19.17,46.73,72.14,73,97,4.05,MG,12/11/2020
4,4,Bluff,-46.6,168.33,48.0,87,92,7.6,NZ,12/11/2020
5,5,Port Alfred,-33.59,26.89,73.63,75,100,1.97,ZA,12/11/2020
6,6,Haftoni,38.76,48.76,41.0,100,90,2.1,AZ,12/11/2020
7,7,Ishinomaki,38.42,141.3,50.0,71,75,1.5,JP,12/11/2020
8,8,Novokruchininskiy,51.78,113.77,5.0,50,0,3.0,RU,12/11/2020
9,9,Busselton,-33.65,115.33,76.98,58,100,3.43,AU,12/11/2020
10,10,Yellowknife,62.46,-114.35,-9.99,76,5,4.1,CA,12/11/2020
11,11,Hobart,-42.88,147.33,64.99,58,20,8.2,AU,12/11/2020
12,12,Rikitea,-23.12,-134.97,77.04,80,100,5.12,PF,12/11/2020
13,13,Souillac,-20.52,57.52,82.4,58,75,5.7,MU,12/11/2020
14,14,Ponta do Sol,32.67,-17.1,60.8,82,20,5.1,PT,12/11/2020
15,15,Bubaque,11.28,-15.83,80.51,60,0,0.56,GW,12/11/2020
16,16,Manokwari,-0.87,134.08,84.4,69,32,2.34,ID,12/11/2020
17,17,Saint-Philippe,-21.36,55.77,82.4,58,0,12.3,RE,12/11/2020
18,18,Pevek,69.7,170.31,9.61,88,82,5.64,RU,12/11/2020
19,19,Vaini,-21.2,-175.2,78.8,88,40,5.1,TO,12/11/2020
20,20,Wajir,1.75,40.06,80.6,69,20,2.6,KE,12/11/2020
21,21,Albany,42.6,-73.97,30.99,84,41,1.32,US,12/11/2020
22,22,Shelburne,44.08,-80.2,35.01,92,100,5.78,CA,12/11/2020
23,23,Port-Gentil,-0.72,8.78,78.8,94,20,1.5,GA,12/11/2020
24,24,Puerto Ayora,-0.74,-90.35,71.01,97,92,0.89,EC,12/11/2020
25,25,Rovaniemi,66.5,25.72,24.8,100,75,3.1,FI,12/11/2020
26,26,Atuona,-9.8,-139.03,78.85,79,0,9.8,PF,12/11/2020
27,27,Saldanha,-33.01,17.94,69.8,69,75,5.1,ZA,12/11/2020
28,28,Sørland,67.67,12.69,42.8,70,0,6.7,NO,12/11/2020
29,29,Avarua,-21.21,-159.78,78.8,83,97,5.1,CK,12/11/2020
30,30,Tilichiki,60.47,166.1,12.27,92,100,5.16,RU,12/11/2020
31,31,Renfrew,55.87,-4.39,43.0,93,90,5.1,GB,12/11/2020
32,32,Qaanaaq,77.48,-69.36,18.12,93,100,3.52,GL,12/11/2020
33,33,Mataura,-46.19,168.86,48.0,87,100,7.6,NZ,12/11/2020
34,34,Pilot Butte,50.47,-104.42,21.2,85,2,2.1,CA,12/11/2020
35,35,Candelaria,13.93,121.42,86.0,74,40,2.28,PH,12/11/2020
36,36,Zhangye,38.93,100.45,30.16,86,99,2.08,CN,12/11/2020
37,37,Cape Town,-33.93,18.42,73.0,72,75,5.7,ZA,12/11/2020
38,38,Boddam,57.47,-1.78,45.0,93,90,8.7,GB,12/11/2020
39,39,Vardø,70.37,31.11,30.2,80,75,17.0,NO,12/11/2020
40,40,Ukiah,39.15,-123.21,41.0,80,1,1.5,US,12/11/2020
41,41,Norman Wells,65.28,-126.83,-7.6,83,75,1.5,CA,12/11/2020
42,42,Tura,25.52,90.22,74.03,49,0,1.78,IN,12/11/2020
43,43,Río Gallegos,-51.62,-69.22,42.8,87,0,3.6,AR,12/11/2020
44,44,Nikolskoye,59.7,30.79,21.2,73,75,4.0,RU,12/11/2020
45,45,Hermanus,-34.42,19.23,70.0,62,100,0.89,ZA,12/11/2020
46,46,Camaquã,-30.85,-51.81,64.42,96,3,2.19,BR,12/11/2020
47,47,Kapaa,22.08,-159.32,73.4,88,75,1.5,US,12/11/2020
48,48,Saint-François,46.42,3.91,43.0,86,100,4.1,FR,12/11/2020
49,49,Burgeo,47.62,-57.62,35.8,84,100,6.22,CA,12/11/2020
50,50,Udachny,66.42,112.4,-36.4,58,0,2.0,RU,12/11/2020
51,51,Shenzhen,22.55,114.07,78.01,77,66,1.56,CN,12/11/2020
52,52,Kaitangata,-46.28,169.85,48.99,75,100,5.81,NZ,12/11/2020
53,53,Jamestown,42.1,-79.24,37.0,92,1,3.1,US,12/11/2020
54,54,Vanavara,60.34,102.28,-27.35,84,100,1.42,RU,12/11/2020
55,55,Khatanga,71.97,102.5,-33.09,83,41,3.39,RU,12/11/2020
56,56,Teguise,29.06,-13.56,62.6,82,20,3.1,ES,12/11/2020
57,57,Ushuaia,-54.8,-68.3,48.2,81,40,2.69,AR,12/11/2020
58,58,New Norfolk,-42.78,147.06,64.99,58,20,8.2,AU,12/11/2020
59,59,Provideniya,64.38,-173.3,9.81,93,100,8.15,RU,12/11/2020
60,60,Alanya,36.54,32.0,55.4,93,75,3.6,TR,12/11/2020
61,61,Lompoc,34.64,-120.46,48.0,100,90,2.27,US,12/11/2020
62,62,Lüderitz,-26.65,15.16,69.78,52,0,6.94,NA,12/11/2020
63,63,George Town,5.41,100.34,89.6,70,20,4.1,MY,12/11/2020
64,64,Onega,63.91,38.14,17.71,96,0,2.65,RU,12/11/2020
65,65,Mar del Plata,-38.0,-57.56,68.0,72,0,7.7,AR,12/11/2020
66,66,Marsaxlokk,35.84,14.54,60.8,77,75,7.2,MT,12/11/2020
67,67,Dezful,32.38,48.41,65.41,46,0,0.83,IR,12/11/2020
68,68,Batagay-Alyta,67.8,130.41,-24.41,85,100,0.73,RU,12/11/2020
69,69,Sur,22.57,59.53,77.07,47,0,9.76,OM,12/11/2020
70,70,Chui,-33.7,-53.46,65.53,78,0,4.78,UY,12/11/2020
71,71,Castro,-24.79,-50.01,58.14,96,34,2.11,BR,12/11/2020
72,72,Nanortalik,60.14,-45.24,24.67,79,0,1.75,GL,12/11/2020
73,73,Upernavik,72.79,-56.15,21.52,90,100,1.51,GL,12/11/2020
74,74,Tiksi,71.69,128.87,-28.39,85,76,3.78,RU,12/11/2020
75,75,Lavrentiya,65.58,-171.0,7.45,91,100,5.76,RU,12/11/2020
76,76,Karasjok,69.47,25.51,26.6,86,0,3.6,NO,12/11/2020
77,77,Flinders,-34.58,150.86,66.99,58,83,0.45,AU,12/11/2020
78,78,Aklavik,68.22,-135.01,-5.8,76,97,3.6,CA,12/11/2020
79,79,Faanui,-16.48,-151.75,80.29,78,100,7.85,PF,12/11/2020
80,80,Namtsy,62.72,129.67,-41.8,57,90,0.87,RU,12/11/2020
81,81,Naze,28.37,129.48,71.6,77,75,3.1,JP,12/11/2020
82,82,Torbay,47.67,-52.73,33.01,97,90,7.7,CA,12/11/2020
83,83,Santiago,-33.46,-70.65,59.0,71,0,1.5,CL,12/11/2020
84,84,Tulagi,-9.1,160.15,86.0,74,40,2.6,SB,12/11/2020
85,85,Zhezkazgan,47.8,67.71,10.51,95,32,4.74,KZ,12/11/2020
86,86,Kruisfontein,-34.0,24.73,69.01,85,100,1.79,ZA,12/11/2020
87,87,Vargem Grande,-3.54,-43.92,72.55,95,94,0.83,BR,12/11/2020
88,88,Hilo,19.73,-155.09,73.4,78,75,1.5,US,12/11/2020
89,89,Lebu,-37.62,-73.65,50.74,83,13,0.64,CL,12/11/2020
90,90,Krasnosel'kup,65.7,82.47,-23.15,87,0,2.0,RU,12/11/2020
91,91,Tuktoyaktuk,69.45,-133.04,-14.8,75,40,4.6,CA,12/11/2020
92,92,Villazón,-22.09,-65.59,51.3,58,54,0.61,BO,12/11/2020
93,93,Vallenar,-28.57,-70.76,55.62,83,11,0.83,CL,12/11/2020
94,94,Saint-Joseph,-21.37,55.62,82.4,58,0,12.3,RE,12/11/2020
95,95,Kushiro,42.98,144.37,37.4,59,20,2.6,JP,12/11/2020
96,96,Les Cayes,18.2,-73.75,74.03,85,68,2.48,HT,12/11/2020
97,97,Bocaiúva,-17.11,-43.81,67.5,87,94,0.71,BR,12/11/2020
98,98,Krasnovishersk,60.41,57.08,9.48,93,0,2.39,RU,12/11/2020
99,99,Abu Dhabi,24.47,54.37,78.8,34,20,4.6,AE,12/11/2020
100,100,Narsaq,60.92,-46.05,14.0,43,0,0.5,GL,12/11/2020
101,101,Srednekolymsk,67.45,153.68,-27.56,84,18,3.23,RU,12/11/2020
102,102,Hasaki,35.73,140.83,54.0,71,75,2.1,JP,12/11/2020
103,103,Fortuna,40.6,-124.16,41.0,94,5,1.67,US,12/11/2020
104,104,Bethel,41.37,-73.41,28.99,92,1,1.18,US,12/11/2020
105,105,Andros Town,24.7,-77.77,60.8,87,40,4.74,BS,12/11/2020
106,106,Prince Rupert,54.32,-130.32,44.6,80,90,3.6,CA,12/11/2020
107,107,Novy Urengoy,66.08,76.63,-13.22,89,99,5.05,RU,12/11/2020
108,108,Samarai,-10.62,150.67,83.21,69,5,2.85,PG,12/11/2020
109,109,Punta Arenas,-53.15,-70.92,42.8,87,0,3.6,CL,12/11/2020
110,110,Karur,10.95,78.08,83.64,52,5,1.55,IN,12/11/2020
111,111,Bengkulu,-3.8,102.27,84.25,67,96,7.56,ID,12/11/2020
112,112,Meadow Lake,34.8,-106.54,39.2,86,75,3.6,US,12/11/2020
113,113,Bambous Virieux,-20.34,57.76,82.4,58,75,5.7,MU,12/11/2020
114,114,Corozal,9.32,-75.29,72.77,89,88,1.25,CO,12/11/2020
115,115,Belaya Gora,68.53,146.42,-31.88,81,100,1.74,RU,12/11/2020
116,116,Grindavik,63.84,-22.43,42.8,81,90,6.2,IS,12/11/2020
117,117,Leningradskiy,69.38,178.42,0.23,86,0,4.43,RU,12/11/2020
118,118,Sitka,57.05,-135.33,37.4,74,1,5.1,US,12/11/2020
119,119,Sorong,-0.88,131.25,84.52,71,98,3.23,ID,12/11/2020
120,120,Esperance,-33.87,121.9,78.8,50,100,5.1,AU,12/11/2020
121,121,Nome,64.5,-165.41,-2.2,70,1,3.11,US,12/11/2020
122,122,Cherskiy,68.75,161.3,3.99,88,99,3.05,RU,12/11/2020
123,123,Saint Anthony,45.02,-93.22,36.0,74,1,4.1,US,12/11/2020
124,124,Nānākuli,21.39,-158.15,75.2,88,90,1.5,US,12/11/2020
125,125,Tateyama,34.98,139.87,59.0,77,40,1.0,JP,12/11/2020
126,126,Karaton,-6.34,106.1,91.99,70,20,4.1,ID,12/11/2020
127,127,Los Llanos de Aridane,28.66,-17.92,64.4,82,40,4.6,ES,12/11/2020
128,128,Beyşehir,37.68,31.72,48.96,71,95,5.89,TR,12/11/2020
129,129,Peñarroya-Pueblonuevo,38.3,-5.27,59.0,93,90,2.6,ES,12/11/2020
130,130,Butaritari,3.07,172.79,81.68,79,100,6.5,KI,12/11/2020
131,131,Thinadhoo,0.53,72.93,82.6,73,8,5.16,MV,12/11/2020
132,132,Thompson,55.74,-97.86,-9.4,83,20,1.16,CA,12/11/2020
133,133,São Filipe,14.9,-24.5,72.95,73,45,3.93,CV,12/11/2020
134,134,Blessington,53.17,-6.53,46.4,93,75,5.7,IE,12/11/2020
135,135,Bathsheba,13.22,-59.52,78.8,74,40,7.2,BB,12/11/2020
136,136,Port Lincoln,-34.73,135.87,68.02,49,100,7.36,AU,12/11/2020
137,137,Cabo San Lucas,22.89,-109.91,72.0,86,91,0.45,MX,12/11/2020
138,138,Timmins,48.47,-81.33,32.0,99,90,2.1,CA,12/11/2020
139,139,East London,-33.02,27.91,71.6,88,75,3.1,ZA,12/11/2020
140,140,Suntar,62.14,117.63,-26.91,85,95,0.74,RU,12/11/2020
141,141,Chokurdakh,70.63,147.92,-25.74,87,100,2.36,RU,12/11/2020
142,142,Diffa,13.32,12.61,83.16,20,23,5.08,NE,12/11/2020
143,143,Alofi,-19.06,-169.92,80.6,78,13,7.2,NU,12/11/2020
144,144,Kaeo,-35.1,173.78,66.99,70,88,2.68,NZ,12/11/2020
145,145,Pacific Grove,36.62,-121.92,51.8,87,90,2.1,US,12/11/2020
146,146,Dikson,73.51,80.55,-5.85,87,100,14.02,RU,12/11/2020
147,147,Talnakh,69.49,88.4,-27.4,74,0,2.0,RU,12/11/2020
148,148,Puerto Madryn,-42.77,-65.04,60.89,37,1,12.86,AR,12/11/2020
149,149,Impfondo,1.64,18.07,85.21,59,4,1.96,CG,12/11/2020
150,150,Carnarvon,-24.87,113.63,82.4,65,53,9.3,AU,12/11/2020
151,151,Lázaro Cárdenas,17.96,-102.2,73.29,82,82,2.14,MX,12/11/2020
152,152,Tasiilaq,65.61,-37.64,26.6,49,100,1.0,GL,12/11/2020
153,153,Kambove,-10.88,26.6,70.16,83,99,1.6,CD,12/11/2020
154,154,Klaksvík,62.23,-6.59,46.4,93,100,14.4,FO,12/11/2020
155,155,Bredasdorp,-34.53,20.04,69.8,56,40,2.6,ZA,12/11/2020
156,156,Linjiang,41.81,126.91,27.19,78,0,1.24,CN,12/11/2020
157,157,Laas,46.62,10.7,35.01,85,40,0.5,IT,12/11/2020
158,158,Mount Isa,-20.73,139.5,96.8,25,67,3.1,AU,12/11/2020
159,159,Hobyo,5.35,48.53,82.49,49,13,9.5,SO,12/11/2020
160,160,Sittwe,20.15,92.9,78.1,54,0,2.88,MM,12/11/2020
161,161,Yar-Sale,66.83,70.83,8.04,95,100,6.1,RU,12/11/2020
162,162,Ratnagiri,16.98,73.3,87.48,50,99,2.54,IN,12/11/2020
163,163,Touros,-5.2,-35.46,73.4,94,20,2.1,BR,12/11/2020
164,164,Dalbandin,28.89,64.41,58.03,38,2,3.05,PK,12/11/2020
165,165,Usinsk,65.99,57.53,16.59,97,100,6.62,RU,12/11/2020
166,166,Labuhan,-6.88,112.21,82.27,83,100,6.68,ID,12/11/2020
167,167,Mitsamiouli,-11.38,43.28,83.93,69,50,4.44,KM,12/11/2020
168,168,San Quintín,30.48,-115.95,56.93,84,27,3.91,MX,12/11/2020
169,169,Vanderhoof,54.02,-124.02,24.4,97,100,1.11,CA,12/11/2020
170,170,Ribeira Grande,38.52,-28.7,64.4,88,75,7.2,PT,12/11/2020
171,171,Sant Julià de Loria,42.46,1.48,35.01,94,100,2.1,AD,12/11/2020
